Date,cityAccidente,countryAccidente,Operator,cityOrigen,cityDestino,Type,Aboard,Fatalities,Ground,latAccidente,lonAccidente,latDestino,lonDestino,latOrigen,lonOrigen
8/26/1993, Aldan, Russia,Sakha Airlines,Kazan,Managua,Let 410UVP-E,24,24,0,39.9215014,-75.2879632,12.1461244,-86.273717,40.2049092,32.6827398
4/27/1993,  Libreville, Gambia,Military - Zambian Air Force,Rockhampton,MacKay,de Havilland  Canada  DHC-5D Buffalo,30,30,0,0.3900022,9.4540009,-21.141956,149.1865149,-23.3782501,150.5134442
11/11/1992, Bombay, India,Military - Indian Air Force,Training,Cazombo,Mil Mi-8 (helicopter),20,20,0,18.9523804,72.8327112,-11.8921052,22.9001014,37.74919975,-122.399688
9/28/1992,  Kathmandu, Nepal,Pakistan International Airlines,Karachi,Kathmandu,Airbus A300B4-203,167,167,0,27.7076762,85.3148882,27.7076762,85.3148882,24.8667795,67.0311286
9/18/1992, Curacao, Netherlands Antilles,Aero Ejecutivos,Guildford,Melbourne,Douglas C-118A,3,3,0,12.1845,-68.96409176,-37.8142176,144.9631608,51.237195,-0.5811779
8/10/1992, Dingxi, China,Wuhan Airlines,Kano,Isparta,Avia 14M-40,35,14,0,35.5815951,104.6199648,37.77035,30.5556933,11.9918671,8.5303654
4/4/1992, Baykovo, Russia,Kamchatavia,Bremerton,Wrangell,Let 410UVP,12,1,0,43.46039,26.83786,56.4156225,-132.3009452,47.5223995,-122.6881064
11/26/1991, Bugulma, Russia,Tartarstan Airlines,Memphis,East Berlin,Antonov AN-24,41,41,0,54.5384152,52.7955953,52.5141994,13.4880687,35.1490215,-90.0516285
11/9/1991, Eagle Lake, Texas,Continental Express,Kamina,Moscow,Embraer 120RT Brasilia,14,14,0,29.5896836,-96.3335769,55.7516335,37.6187042,-8.7364475,24.9952371
11/1/1991, Belo Horizonte, Brazil,Belair - Air Taxi,Nizhnevartovsk,Hicks Island,Learjet 25C,5,5,0,-19.9227318,-43.9450948,28.7810979,-82.2723134,60.9340439,76.58037
10/30/1991, Ellesmere Island, NWT,Military - Royal Canadian Air Force,Kamina,Athens,Lockheed CC-130E,18,5,0,40.5489742,-76.8119151,33.9595974,-83.376678,-8.7364475,24.9952371
5/26/1991, Ban Nong Rong, Thailand,Lauda Air,Lagos,Bishop,Boeing B-767-3Z9ER,223,223,0,34.6893177,135.486284,37.3650412,-118.3946477,20.0171109,103.378253
3/25/1991, Bangalore, India,Military - Indian Air Force,Wellington,Barranquilla,Hindustan Aeronautics 748-2,28,28,0,12.9791703,77.5912429,10.979932,-74.7957384,-41.2887639,174.7772239
3/3/1991, Colorado Springs, Colorado,United Air Lines,Addis Ababa,Baton Rouge,Boeing B-737-291,25,25,0,38.8339578,-104.8253485,30.4507462,-91.154551,9,38.75
12/21/1990, False Pass, Alaska,MarkAir Commuter,Jeddah,Isiro,Cessna 208 Caravan I,1,1,0,54.8525566,-163.4147747,2.7742702,27.6208169,21.5822247,39.1640396
